mood_match_score,pace_compatibility_score,budget_match_score,distance_score,group_score,rating_score,selected
82.0,80.0,85.0,82.0,25.0,84.0,0.0
82.0,80.0,85.0,82.0,84.0,25.0,0.0
70.0,72.0,75.0,78.0,80.0,82.0,1.0
72.0,75.0,78.0,80.0,82.0,70.0,1.0
75.0,78.0,80.0,82.0,70.0,72.0,1.0
78.0,80.0,82.0,70.0,72.0,75.0,1.0
80.0,82.0,70.0,72.0,75.0,78.0,1.0
82.0,70.0,72.0,75.0,78.0,80.0,1.0
40.0,70.0,72.0,75.0,78.0,80.0,0.0
70.0,40.0,72.0,75.0,78.0,80.0,0.0
70.0,72.0,40.0,75.0,78.0,80.0,0.0
70.0,72.0,75.0,40.0,78.0,80.0,0.0
70.0,72.0,75.0,78.0,40.0,80.0,0.0
70.0,72.0,75.0,78.0,80.0,40.0,0.0
80.9,70.2,77.4,84.3,97.6,94.5,1.0
75.2,95.6,97.0,70.2,91.6,75.6,1.0
87.5,95.8,75.9,94.1,75.5,95.1,1.0
51.2,47.5,46.5,25.8,43.6,44.0,0.0
58.6,38.6,18.0,53.6,57.0,48.7,0.0
51.2,52.3,13.0,56.2,19.0,30.2,0.0
22.3,59.7,51.6,54.6,21.2,59.5,0.0
42.4,17.5,11.5,49.0,54.9,35.8,0.0
30.7,56.8,52.1,32.1,11.6,44.0,0.0
91.9,75.4,86.5,87.0,80.5,85.6,1.0
89.1,77.4,76.9,84.3,81.8,75.6,1.0
84.9,86.6,89.9,81.4,87.3,78.7,1.0
11.5,17.5,22.7,29.5,20.0,31.1,0.0
89.2,96.9,99.2,88.7,90.3,82.6,1.0
18.1,27.4,40.4,35.0,40.9,51.5,0.0
20.3,26.0,12.9,54.2,50.6,17.6,0.0
49.9,15.6,25.7,52.1,33.0,54.6,0.0
92.0,94.5,93.5,84.8,87.1,91.4,1.0
97.1,77.8,90.3,81.4,77.1,86.3,1.0
97.6,90.1,75.8,76.3,95.7,83.1,1.0
76.3,86.5,83.7,90.6,86.9,82.8,1.0
43.6,26.0,8.5,24.2,55.6,10.1,0.0
17.4,58.5,47.6,22.5,30.9,32.9,0.0
96.7,72.0,85.7,74.7,79.0,75.9,1.0
85.8,91.4,77.5,85.8,85.2,96.4,1.0
23.2,61.0,8.6,41.1,41.7,56.3,0.0
52.8,20.1,38.3,15.4,18.5,38.4,0.0
46.6,55.9,29.1,41.5,25.1,58.1,0.0
75.5,96.5,99.1,79.8,75.8,90.7,1.0
75.3,73.7,89.2,83.0,96.8,92.4,1.0
97.0,88.6,80.6,84.4,82.5,93.2,1.0
35.1,12.2,37.6,38.8,48.0,54.1,0.0
95.1,83.9,83.9,79.7,84.5,76.4,1.0
42.1,32.9,25.3,48.3,23.2,40.7,0.0
76.2,77.7,86.0,70.1,92.3,94.4,1.0
97.0,75.8,90.7,81.1,98.2,85.2,1.0
23.0,33.2,10.3,21.0,15.7,17.8,0.0
34.1,26.7,10.8,50.2,40.6,22.3,0.0
97.7,95.9,99.2,91.4,76.5,82.2,1.0
57.3,34.3,40.5,40.4,16.7,51.1,0.0
32.2,35.7,36.2,28.8,29.1,36.4,0.0
46.9,38.9,48.3,40.5,26.4,49.2,0.0
24.6,25.8,25.1,57.9,49.4,50.1,0.0
98.6,80.2,89.0,73.2,80.7,81.6,1.0
81.8,97.3,83.1,90.4,93.0,85.9,1.0
59.4,38.0,8.1,29.8,58.7,48.7,0.0
25.1,15.7,17.2,15.3,55.1,57.2,0.0
31.6,53.1,30.8,18.5,15.0,26.3,0.0
54.2,53.7,9.4,59.9,16.7,35.8,0.0
97.5,90.5,83.7,85.2,97.1,97.0,1.0
83.5,71.8,77.0,86.0,78.1,79.4,1.0
90.6,70.5,79.4,76.1,84.7,93.6,1.0
57.9,14.3,15.3,58.5,56.7,44.2,0.0
10.6,11.8,20.9,47.8,38.4,30.2,0.0
90.5,73.7,99.9,90.5,84.0,84.5,1.0
10.6,58.0,48.7,55.6,44.2,22.8,0.0
57.8,53.3,44.7,34.6,50.0,10.1,0.0
83.1,74.6,84.8,83.7,79.4,82.5,1.0
99.8,92.0,90.1,94.5,95.3,95.9,1.0
36.7,26.0,29.7,21.7,48.5,15.3,0.0
20.8,38.0,16.8,54.2,42.4,35.6,0.0
16.5,14.6,13.1,19.3,23.7,26.7,0.0
15.8,30.3,5.4,33.8,54.6,31.2,0.0
98.2,91.0,95.7,75.9,86.2,82.4,1.0
75.1,89.8,99.9,87.9,94.3,87.9,1.0
79.4,93.8,79.9,78.7,89.4,90.4,1.0
33.8,19.6,21.1,20.9,19.0,47.9,0.0
46.4,47.6,10.9,36.6,13.8,46.9,0.0
90.5,73.9,97.3,92.8,88.5,83.8,1.0
40.1,29.8,19.2,40.1,35.5,23.8,0.0
83.0,72.0,84.7,90.3,87.8,90.2,1.0
54.8,60.5,35.2,48.8,12.6,31.9,0.0
92.4,77.9,87.1,78.7,79.9,77.3,1.0
53.2,41.1,30.4,42.8,33.6,19.2,0.0
56.9,49.9,20.6,57.5,57.1,55.9,0.0
95.8,90.8,80.5,86.0,76.2,95.6,1.0
30.0,17.6,48.5,45.5,15.0,13.0,0.0
94.1,82.5,83.9,83.5,87.1,79.9,1.0
94.5,72.9,79.2,72.3,76.9,90.9,1.0
97.3,93.9,87.3,76.7,77.8,75.3,1.0
78.5,78.5,99.0,75.1,76.6,91.6,1.0
30.7,36.4,27.2,48.6,57.5,25.9,0.0
82.6,78.5,99.1,90.9,93.9,75.5,1.0
57.0,44.5,46.2,34.7,15.8,37.8,0.0
59.1,20.3,34.3,26.8,40.0,41.8,0.0
87.3,75.8,92.9,93.1,77.2,92.5,1.0
76.2,97.5,87.9,75.5,97.2,85.8,1.0
93.9,84.1,80.3,77.3,91.6,77.3,1.0
78.6,94.1,92.2,75.3,88.6,88.1,1.0
81.1,70.4,76.7,79.5,91.4,80.2,1.0
30.2,33.9,21.6,24.0,26.8,39.7,0.0
95.6,84.5,80.9,71.4,82.0,78.6,1.0
57.5,23.9,48.4,40.8,26.7,31.2,0.0
40.5,48.4,13.2,20.3,45.3,29.3,0.0
96.0,83.0,81.7,75.3,95.8,83.4,1.0
76.7,86.5,87.6,86.4,82.2,75.8,1.0
95.2,84.9,92.2,71.3,93.6,77.7,1.0
98.2,73.3,85.5,94.0,90.5,91.4,1.0
87.4,96.8,97.2,84.3,96.3,95.6,1.0
96.6,86.2,92.4,75.3,94.8,75.3,1.0
46.4,20.5,7.0,32.7,10.4,37.2,0.0
46.4,34.1,9.2,25.5,27.6,18.7,0.0
45.3,51.1,39.1,38.3,45.1,12.4,0.0
21.8,13.8,38.6,47.2,55.4,30.2,0.0
30.6,50.1,15.6,26.0,22.7,14.5,0.0
89.2,77.8,87.0,84.8,91.3,77.9,1.0
84.2,87.4,91.7,82.4,96.1,96.8,1.0
99.5,83.3,85.9,75.5,95.5,94.3,1.0
24.9,11.5,29.1,27.4,34.1,37.4,0.0
75.5,77.7,83.5,74.8,78.7,79.7,1.0
38.8,35.5,25.9,16.1,13.3,56.9,0.0
22.3,18.3,29.3,40.7,11.8,56.3,0.0
81.0,89.6,86.7,93.7,98.9,83.3,1.0
59.8,51.5,22.2,17.9,56.1,53.8,0.0
92.7,76.2,98.4,94.2,98.9,93.8,1.0
38.8,28.5,6.9,57.3,32.7,20.7,0.0
54.0,47.3,48.5,30.9,16.5,46.4,0.0
95.4,91.0,79.3,86.7,83.6,84.6,1.0
51.1,17.9,16.4,37.0,56.1,17.3,0.0
88.6,91.8,78.1,82.2,77.1,78.4,1.0
34.3,20.8,14.3,45.6,14.2,27.6,0.0
40.8,44.1,41.5,42.6,58.7,12.6,0.0
12.3,43.1,53.3,28.6,41.9,45.1,0.0
49.1,64.8,19.1,25.7,49.7,54.3,0.0
85.0,84.7,75.9,76.4,96.2,89.5,1.0
23.5,46.2,30.9,50.6,24.9,26.2,0.0
76.4,82.6,79.3,74.9,90.0,82.8,1.0
90.7,88.5,83.2,90.1,89.4,96.7,1.0
90.1,88.7,95.4,84.0,96.3,78.3,1.0
57.9,38.6,24.3,30.7,41.1,19.1,0.0
88.8,76.1,79.9,84.7,87.9,89.7,1.0
87.4,77.1,89.8,79.7,93.1,94.0,1.0
32.1,39.3,33.5,15.2,41.9,24.1,0.0
55.4,21.1,9.6,54.8,41.2,47.4,0.0
87.7,79.4,77.5,91.7,86.5,85.6,1.0
89.4,75.3,79.2,89.7,84.8,76.8,1.0
34.6,31.1,36.9,21.4,51.6,53.1,0.0
11.0,18.7,39.1,42.6,29.5,36.2,0.0
12.7,30.4,18.0,59.2,38.5,39.9,0.0
45.0,41.5,12.2,58.2,38.5,29.9,0.0
83.6,73.8,83.2,72.3,96.8,87.9,1.0
46.1,14.2,31.2,38.1,56.0,43.1,0.0
18.5,28.2,44.4,30.3,29.5,20.5,0.0
78.8,70.3,85.9,85.3,81.3,90.3,1.0
20.9,57.8,38.3,41.4,40.4,15.7,0.0
87.9,77.1,85.4,92.5,87.0,81.0,1.0
81.3,72.8,97.1,85.0,93.8,85.7,1.0
90.3,71.0,84.2,84.8,88.4,77.9,1.0
89.0,82.4,91.9,90.0,99.3,77.0,1.0
27.9,22.3,29.0,27.9,41.3,17.4,0.0
57.9,57.5,15.2,58.8,51.9,34.5,0.0
27.6,51.0,30.7,35.4,29.9,48.2,0.0
43.1,56.7,15.8,22.8,56.7,15.8,0.0
84.5,74.4,80.5,81.9,97.8,91.1,1.0
39.9,47.5,49.6,42.1,18.2,18.0,0.0
98.7,80.7,86.8,80.8,93.8,82.0,1.0
93.2,97.0,87.0,86.0,82.2,96.4,1.0
41.3,64.9,13.1,36.1,13.1,19.8,0.0
93.6,71.0,80.7,83.4,83.2,97.1,1.0
79.5,89.3,99.4,81.3,98.4,89.8,1.0
24.4,59.2,34.6,52.8,46.8,29.1,0.0
11.1,39.8,21.8,32.1,24.4,29.7,0.0
10.9,45.9,25.0,50.0,37.1,34.7,0.0
35.5,41.8,29.2,42.2,17.9,17.7,0.0
75.8,83.5,94.9,73.5,76.1,84.0,1.0
78.2,83.1,99.4,85.4,80.7,79.8,1.0
57.9,27.7,44.2,28.7,40.2,34.6,0.0
21.8,25.3,13.5,39.7,54.0,28.7,0.0
81.4,90.4,78.1,81.5,76.7,75.2,1.0
41.0,59.1,5.0,17.9,46.1,33.4,0.0
58.3,18.5,22.2,23.1,32.9,50.7,0.0
45.6,41.9,54.8,30.1,19.0,28.9,0.0
79.2,78.1,87.6,81.8,76.7,95.2,1.0
78.6,81.5,80.5,81.7,95.9,90.3,1.0
95.3,70.2,86.9,85.9,92.8,77.5,1.0
51.1,52.2,11.9,31.6,30.8,52.9,0.0
24.6,36.7,19.1,44.1,30.7,38.6,0.0
39.2,51.7,22.0,31.6,46.6,19.4,0.0
94.8,95.9,88.8,78.5,90.7,97.4,1.0
75.3,81.2,77.3,90.5,95.6,93.9,1.0
11.3,22.5,5.4,32.5,58.5,44.0,0.0
38.7,41.5,45.8,59.8,32.7,27.7,0.0
96.9,82.5,95.2,88.2,87.7,85.1,1.0
77.3,73.4,95.7,78.2,84.9,81.7,1.0
81.8,97.2,79.0,83.0,96.9,96.0,1.0
96.3,84.4,87.5,92.8,91.9,84.4,1.0
26.5,54.4,41.9,26.6,58.0,19.1,0.0
46.2,56.8,32.2,58.8,59.1,32.6,0.0
77.1,73.7,97.3,78.1,92.0,93.6,1.0
55.3,64.7,43.9,31.1,23.1,23.0,0.0
21.6,17.0,8.1,32.5,26.9,19.7,0.0
86.1,93.7,83.2,93.9,92.2,77.4,1.0
86.9,84.2,75.9,81.8,78.0,87.2,1.0
84.7,76.4,78.3,89.3,87.6,89.3,1.0
92.8,81.4,76.7,77.5,91.4,96.2,1.0
48.1,14.8,17.7,27.0,19.9,24.3,0.0
30.8,63.0,46.9,43.7,51.0,36.4,0.0
81.5,81.5,97.9,76.3,81.4,92.8,1.0
33.2,45.6,19.0,46.2,18.9,36.9,0.0
46.7,27.1,26.7,49.7,43.5,34.3,0.0
94.3,91.5,82.5,86.5,86.9,90.1,1.0
80.4,79.3,85.3,92.0,93.6,85.7,1.0
77.3,87.9,81.6,76.7,91.7,84.4,1.0
89.0,87.4,88.0,80.2,87.3,89.9,1.0
27.2,46.4,48.8,39.2,16.9,24.9,0.0
46.1,49.9,42.2,44.0,50.8,53.3,0.0
29.3,46.3,21.4,18.1,34.4,55.7,0.0
52.8,15.2,11.5,54.2,12.6,18.1,0.0
90.6,87.7,98.4,87.6,95.2,77.7,1.0
86.7,87.8,97.2,75.9,90.8,86.0,1.0
86.1,75.1,99.4,76.0,99.7,81.0,1.0
36.1,18.2,24.3,34.7,56.2,49.1,0.0
84.6,71.5,90.3,89.4,81.0,83.1,1.0
32.7,34.9,37.2,43.6,59.8,37.8,0.0
50.8,47.1,32.8,52.5,34.7,17.5,0.0
87.2,71.6,84.7,84.0,95.3,76.5,1.0
13.5,44.3,40.2,22.2,53.7,33.8,0.0
21.1,38.3,42.7,17.0,27.5,41.5,0.0
79.6,97.4,90.4,89.9,99.5,92.8,1.0
10.6,11.0,10.4,55.1,58.7,51.1,0.0
95.2,89.1,89.7,83.0,81.0,77.4,1.0
54.7,42.4,39.1,26.4,45.9,58.9,0.0
88.2,91.8,77.3,77.3,89.8,78.3,1.0
92.7,91.4,85.4,88.7,96.3,78.2,1.0
59.4,64.0,15.9,46.9,34.7,25.3,0.0
47.7,44.1,12.1,47.4,26.1,11.1,0.0
55.4,31.6,41.5,29.5,19.7,29.5,0.0
43.3,19.6,14.5,36.8,24.4,43.1,0.0
78.4,73.5,96.6,82.2,75.2,75.7,1.0
84.9,91.0,79.6,78.1,97.3,88.9,1.0
98.4,90.9,78.4,70.6,98.9,95.2,1.0
33.5,37.0,13.7,26.5,50.0,52.5,0.0
27.0,20.5,41.6,55.3,50.0,37.4,0.0
82.8,78.3,78.7,92.5,85.2,96.9,1.0
32.8,26.0,23.9,17.8,33.4,38.8,0.0
75.4,80.1,81.7,81.1,87.1,94.0,1.0
11.7,59.2,47.5,17.3,53.0,20.4,0.0
35.2,56.3,30.1,36.9,44.6,42.2,0.0
92.5,72.1,97.5,77.4,81.1,78.8,1.0
77.8,71.5,95.6,90.6,87.5,89.4,1.0
85.4,82.1,78.3,75.3,88.3,93.9,1.0
12.9,12.0,50.5,15.9,42.4,22.9,0.0
99.1,83.1,99.4,93.1,87.8,75.5,1.0
79.7,93.9,78.9,73.5,79.9,93.3,1.0
95.6,70.5,90.3,73.9,93.2,78.9,1.0
77.2,89.7,98.6,80.8,80.1,81.7,1.0
48.2,27.0,15.7,19.9,12.1,43.8,0.0
79.6,72.9,98.7,89.6,92.8,86.3,1.0
40.9,46.7,48.1,39.6,55.7,58.3,0.0
76.4,75.9,79.0,84.3,81.8,94.5,1.0
24.9,19.7,5.7,31.0,40.4,42.9,0.0
33.8,25.5,45.0,22.4,47.7,50.4,0.0
96.2,70.7,88.8,77.5,87.1,87.6,1.0
52.8,17.1,7.2,54.1,31.3,36.1,0.0
96.2,94.0,91.1,73.1,91.0,95.2,1.0
43.3,15.4,15.4,15.7,51.2,40.5,0.0
84.9,84.8,92.2,70.7,98.5,94.5,1.0
50.9,24.1,12.5,27.2,15.2,59.0,0.0
83.0,96.7,85.0,80.4,98.7,91.3,1.0
88.3,81.5,97.3,92.9,96.6,94.3,1.0
55.5,25.8,27.2,33.0,39.5,25.7,0.0
14.7,58.9,10.5,45.6,58.2,44.8,0.0
33.9,51.1,7.9,21.7,17.3,57.0,0.0
98.2,91.6,89.8,94.4,81.0,97.3,1.0
43.2,59.8,19.0,40.6,34.6,19.6,0.0
88.7,82.1,77.2,84.9,79.2,83.0,1.0
45.1,15.5,24.7,43.3,56.4,43.2,0.0
28.5,57.4,10.9,30.1,50.6,23.2,0.0
88.8,81.9,91.3,91.3,97.4,81.4,1.0
83.3,82.8,91.4,82.6,80.7,89.1,1.0
98.1,70.7,92.9,70.5,83.6,87.6,1.0
83.4,96.9,77.5,73.0,99.5,95.1,1.0
54.9,34.5,18.8,34.9,16.3,38.0,0.0
97.3,92.4,75.6,87.0,99.4,77.8,1.0
31.4,34.2,43.1,26.7,50.2,54.4,0.0
43.1,27.0,14.4,39.1,20.5,57.4,0.0
50.2,44.8,5.6,35.2,15.5,16.7,0.0
30.0,29.4,36.5,27.9,11.9,38.8,0.0
15.3,63.9,34.5,20.2,14.8,27.0,0.0
33.2,10.3,35.8,29.4,38.5,57.2,0.0
78.8,73.4,80.1,82.5,93.7,91.4,1.0
83.6,94.6,76.8,71.7,84.6,82.3,1.0
88.6,96.5,75.1,70.9,93.9,88.3,1.0
39.3,55.7,48.5,50.5,50.3,42.6,0.0
93.3,74.5,95.9,77.8,82.6,84.9,1.0
81.1,89.3,96.9,94.5,82.1,85.8,1.0
19.0,33.2,29.3,44.2,33.9,42.1,0.0
99.8,75.5,84.0,75.0,94.8,85.2,1.0
79.0,91.1,95.1,83.4,97.8,97.8,1.0
77.1,97.2,77.5,78.4,90.4,93.0,1.0
35.2,60.6,38.1,58.8,57.7,23.1,0.0
18.2,25.3,40.0,56.5,20.2,33.2,0.0
55.1,44.0,23.7,59.7,22.3,20.0,0.0
97.0,97.2,92.4,88.4,91.3,78.8,1.0
77.2,93.1,96.4,90.1,81.5,94.6,1.0
38.2,27.7,29.3,28.0,40.5,39.5,0.0
38.7,35.2,7.4,52.4,40.7,15.4,0.0
54.2,36.1,49.3,38.5,36.1,17.3,0.0
21.1,62.7,27.8,18.1,10.8,23.3,0.0
100.0,75.4,77.5,88.2,91.3,92.8,1.0
17.9,36.2,5.5,35.7,48.1,23.2,0.0
93.6,71.6,87.6,82.2,99.3,78.4,1.0
44.4,54.0,49.1,58.5,18.0,47.6,0.0
20.9,58.7,50.7,39.1,14.1,11.1,0.0
82.9,83.7,88.6,84.6,87.7,96.7,1.0
97.1,87.1,99.1,79.6,95.2,81.9,1.0
89.1,93.9,80.9,80.1,86.8,81.3,1.0
55.3,23.4,44.5,52.8,25.4,32.9,0.0
80.7,88.6,84.1,72.5,80.8,97.9,1.0
92.8,95.6,98.9,85.6,85.4,88.6,1.0
89.3,75.4,82.5,85.7,92.2,84.7,1.0
100.0,90.1,87.3,91.6,85.0,86.2,1.0
93.9,78.4,91.2,92.4,79.7,93.5,1.0
53.4,54.7,53.2,37.7,27.0,26.6,0.0
99.4,80.5,88.2,94.0,87.1,85.7,1.0
75.2,85.1,76.6,77.9,83.8,78.6,1.0
99.3,90.6,93.3,86.8,76.8,94.1,1.0
98.8,70.9,82.6,80.4,82.2,80.2,1.0
58.5,32.9,36.3,49.4,19.9,44.7,0.0
36.1,42.5,32.0,20.1,39.9,47.8,0.0
32.3,12.9,5.6,58.3,32.1,50.0,0.0
40.7,14.5,15.2,40.9,46.2,27.9,0.0
36.6,20.1,28.9,58.7,50.7,35.4,0.0
89.3,82.9,88.0,90.7,91.7,82.4,1.0
92.5,78.7,91.6,91.7,96.6,97.4,1.0
88.2,80.2,77.9,89.6,86.9,94.1,1.0
76.0,71.7,87.4,71.4,87.9,80.4,1.0
85.6,71.9,77.9,80.1,95.6,96.4,1.0
88.6,71.7,95.9,94.3,85.8,94.2,1.0
36.3,19.4,41.8,39.9,59.5,46.8,0.0
54.6,19.9,28.2,26.9,42.8,45.0,0.0
30.4,36.2,6.5,18.9,55.3,12.7,0.0
91.5,82.7,80.3,86.9,78.6,97.7,1.0
91.6,83.8,82.2,89.1,94.1,85.9,1.0
28.0,44.1,14.7,42.6,29.1,41.2,0.0
40.6,36.3,35.6,37.8,12.4,51.0,0.0
30.6,50.5,34.1,54.5,11.8,51.6,0.0
11.9,44.0,52.7,32.0,43.7,57.3,0.0
13.5,56.9,38.1,29.6,10.3,24.4,0.0
51.1,29.1,40.4,16.4,44.6,43.5,0.0
23.2,30.8,25.0,19.3,58.5,22.6,0.0
48.2,25.3,34.8,44.3,56.8,47.9,0.0
85.6,70.2,94.4,77.2,93.8,94.5,1.0
98.5,71.4,97.0,75.0,77.2,82.4,1.0
91.8,86.1,86.4,77.2,81.8,76.2,1.0
98.7,80.4,93.2,91.2,86.2,89.1,1.0
76.0,95.2,82.3,85.8,92.5,89.7,1.0
12.6,58.0,51.3,16.0,45.2,41.9,0.0
91.3,89.9,87.5,76.1,80.9,75.2,1.0
41.6,55.5,26.3,34.8,31.5,17.2,0.0
82.5,96.1,90.1,94.6,77.6,80.9,1.0
92.4,96.1,75.0,79.4,76.3,75.3,1.0
99.7,79.5,84.9,81.8,76.1,79.9,1.0
44.3,58.3,23.2,47.5,33.5,34.1,0.0
38.7,56.4,41.8,36.2,12.9,17.3,0.0
33.3,55.5,7.9,29.5,38.0,24.2,0.0
91.4,77.2,92.1,90.2,95.9,75.9,1.0
90.9,76.7,91.7,93.2,88.1,96.9,1.0
80.6,96.1,89.8,85.2,83.1,84.4,1.0
98.2,72.2,96.5,70.1,86.2,85.8,1.0
95.2,87.6,88.6,73.0,96.7,97.8,1.0
87.3,75.4,96.0,72.8,96.0,79.5,1.0
88.7,92.7,92.0,84.9,94.9,77.3,1.0
75.1,77.5,75.7,70.1,84.1,92.2,1.0
84.1,90.4,83.2,86.9,94.1,86.3,1.0
89.9,89.6,98.6,72.9,87.9,83.6,1.0
84.1,95.1,79.4,72.6,82.4,91.1,1.0
22.8,50.9,29.4,48.8,24.1,19.1,0.0
87.9,74.8,88.1,75.0,84.1,81.8,1.0
87.3,84.2,85.4,92.0,90.6,76.7,1.0
12.8,49.6,18.7,20.6,41.4,34.8,0.0
98.2,86.1,98.8,75.9,91.6,84.1,1.0
34.9,31.9,51.5,39.3,28.7,48.3,0.0
18.7,26.3,44.1,53.5,11.2,56.6,0.0
46.6,25.6,28.3,44.3,12.4,39.4,0.0
75.7,81.8,99.1,76.8,92.7,90.0,1.0
89.1,72.6,83.0,88.7,78.7,75.6,1.0
11.5,64.4,9.5,47.4,36.3,56.5,0.0
19.9,53.9,43.5,42.5,32.5,38.2,0.0
82.1,88.2,91.3,91.7,81.6,81.9,1.0
53.7,28.0,37.7,59.7,59.9,13.4,0.0
91.5,76.3,77.7,82.4,90.5,84.5,1.0
32.4,47.6,10.4,50.8,17.5,55.7,0.0
21.8,48.3,19.7,54.5,49.4,25.0,0.0
93.5,80.5,93.5,75.5,91.4,97.9,1.0
53.7,19.3,30.2,45.3,26.8,13.2,0.0
56.8,44.7,19.3,19.0,36.1,13.1,0.0
81.1,95.8,86.2,90.8,79.9,77.6,1.0
10.5,59.7,15.6,33.7,34.2,45.3,0.0
33.2,38.7,50.3,26.9,52.3,17.1,0.0
97.5,95.9,87.4,71.7,90.9,79.0,1.0
55.6,42.2,15.8,28.0,33.1,38.1,0.0
56.9,25.2,12.2,48.6,58.0,19.9,0.0
55.9,47.3,15.3,38.8,25.3,20.8,0.0
83.8,78.7,81.4,86.6,81.8,96.1,1.0
48.5,27.6,40.5,18.7,32.8,20.6,0.0
40.8,19.3,13.0,17.8,59.7,39.2,0.0
